sortie_id,uav_id,uav_type,battery_id,preparation_start_s,takeoff_s,service_sequence,return_s,energy_kwh,energy_margin_kwh,n_boxes,payload_kg,tag
M001,U01,A,BAT-A-01,0.0,390.0,S013>S012,2395.0848798156608,3.082622000588545,0.5173779994114551,3,20.0,EPS0.02_makespan
M002,U02,A,BAT-A-02,0.0,390.0,S006>S007,2121.7020521620752,2.2063731892198124,1.3936268107801877,3,20.0,EPS0.02_makespan
M003,U05,B,BAT-B-01,0.0,390.0,S014,1869.7521946190163,2.1403030047614893,1.059696995238511,3,25.0,EPS0.02_makespan
M004,U06,B,BAT-B-02,0.0,360.0,S002,1756.6939339219116,2.43260791577573,0.7673920842242703,2,17.0,EPS0.02_makespan
M005,U07,C,BAT-C-01,0.0,450.0,S006,1495.5595259403467,2.539471952043197,3.8605280479568034,5,56.0,EPS0.02_makespan
M006,U03,A,BAT-A-03,0.0,360.0,S010,1654.8593983215956,1.954809785440372,1.645190214559628,2,17.0,EPS0.02_makespan
M007,U06,B,BAT-B-03,1756.6939339219116,2116.6939339219116,S013,3204.5196219297,1.7405962997631659,1.4594037002368343,2,22.0,EPS0.02_makespan
M008,U05,B,BAT-B-04,1869.7521946190163,2259.7521946190163,S001,3078.853716462174,1.073960767623688,2.1260392323763124,3,20.0,EPS0.02_makespan
M009,U08,C,BAT-C-02,0.0,450.0,S008,2199.7120845921745,5.836023632389955,0.5639763676100458,5,45.0,EPS0.02_makespan
M010,U05,B,BAT-B-01,3078.853716462174,3468.853716462174,S003,5144.17849198415,2.7738160002385204,0.4261839997614798,3,25.0,EPS0.02_makespan
M011,U06,B,BAT-B-02,3204.5196219297,3564.5196219297,S004,5126.167633102941,2.576489867036754,0.6235101329632462,2,17.0,EPS0.02_makespan
M012,U06,B,BAT-B-03,5126.167633102941,5516.167633102941,S015,6953.092944011412,2.3068796937944342,0.8931203062055659,3,25.0,EPS0.02_makespan
M013,U04,A,BAT-A-04,0.0,360.0,S009,1688.6138747133884,2.254800043434852,1.345199956565148,2,17.0,EPS0.02_makespan
M014,U05,B,BAT-B-04,5144.17849198415,5504.17849198415,S005,6660.353353955734,1.7714855189654486,1.4285144810345516,2,17.0,EPS0.02_makespan
M015,U03,A,BAT-A-05,1654.8593983215956,2014.8593983215956,S011,2873.9343194409144,1.1508046748468406,2.4491953251531595,2,17.0,EPS0.02_makespan
M016,U07,C,BAT-C-03,1495.5595259403467,1975.5595259403467,S001,2989.7299178193116,2.995742764547403,3.4042572354525973,6,78.0,EPS0.02_makespan
M017,U08,C,BAT-C-04,2199.7120845921745,2679.7120845921745,S002,4307.524103230882,6.1056142049076145,0.2943857950923858,6,64.0,EPS0.02_makespan
M018,U07,C,BAT-C-01,2989.7299178193116,3439.7299178193116,S001,4417.900309698276,2.3095089540351452,4.090491045964855,5,50.0,EPS0.02_makespan
M019,U08,C,BAT-C-02,4307.524103230882,4757.524103230882,S003,6658.958215097259,5.7573001159396835,0.6426998840603169,5,56.0,EPS0.02_makespan
M020,U04,A,BAT-A-06,1688.6138747133884,2048.613874713388,S007,3401.1732371005683,1.964671968666427,1.6353280313335732,2,22.0,EPS0.02_makespan
M021,U07,C,BAT-C-03,4417.900309698276,4837.900309698276,S004,6586.96137629144,5.518469288797766,0.8815307112022346,4,42.0,EPS0.02_makespan
M022,U07,C,BAT-C-01,6586.96137629144,7006.96137629144,S005,8332.156534486981,3.7870462440380046,2.6129537559619957,4,42.0,EPS0.02_makespan
M023,U05,B,BAT-B-02,6660.353353955734,6990.353353955734,S010,8095.730256402073,1.5155761936939673,1.6844238063060328,1,8.0,EPS0.02_makespan
M024,U06,B,BAT-B-01,6953.092944011412,7283.092944011412,S012,8754.446367982797,2.288992826923215,0.911007173076785,1,8.0,EPS0.02_makespan
M025,U02,A,BAT-A-03,2121.7020521620752,2719.582225226592,S007,4042.141587613772,1.8002714419366384,1.7997285580633617,1,6.0,EPS0.02_makespan
M026,U05,B,BAT-B-04,8095.730256402073,8425.730256402072,S001,9184.831778245229,0.9509059924494303,2.24909400755057,1,6.0,EPS0.02_makespan
M027,U06,B,BAT-B-03,8754.446367982797,9084.446367982797,S009,10192.888615377205,1.7424262240623476,1.4575737759376526,1,8.0,EPS0.02_makespan
M028,U05,B,BAT-B-02,9184.831778245229,9514.831778245229,S011,10250.303430472715,0.8932052893717091,2.3067947106282913,1,8.0,EPS0.02_makespan
